Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,18.18418459,11.12794308,0.520092819,3521,0,5.641157993,3.224286756,
2.19312432,1145,,,,43.59706293,11.11276598,1.061774222,5788,0,11.69168894,3.72902825,
3.88658032,1240,,,,79.70279732,11.08997382,1.83468702,7800,0,20.17589589,3.95064695,
5.61845307,1335,,,,119.3284332,11.06243941,2.77454572,9545,0,30.52716678,3.909244318,
7.33770457,1430,,,,163.3568825,11.02879917,3.835600587,11075,0,42.1846757,3.872537303,
9.07377657,1525,,,,214.3777477,10.99820263,5.169469753,12630,0,56.68767523,3.781963941,
10.74154282,1620,,,,277.5543054,10.9492755,6.908700114,14359,0,75.47750565,3.677323724,
12.40720107,1715,,,,351.9271456,10.88698807,8.866885327,15907,0,96.38393065,3.651335319,
14.16246707,1810,,,,409.8801262,10.3783272,10.99835429,17126,0,113.9587479,3.596749469,
15.91021082,1905,,,,409.8801262,10.3783272,10.99835429,17126,0,113.9587479,3.596749469,
17.65510632,2000,,,,409.8801262,10.3783272,10.99835429,17126,0,113.9587479,3.596749469,
