Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,13.51236865,11.14635112,0.450159548,3410,0,4.896017758,2.76008864,
2.190561094,1145,,,,36.43916654,11.13339759,0.89596524,5541,0,9.856384443,3.697272749,
3.907257094,1240,,,,66.82838492,11.11507173,1.509023297,7441,0,16.65066452,4.013728484,
5.687218344,1335,,,,106.0903323,11.09304375,2.294709134,9158,0,25.30096235,4.193418556,
7.422119344,1430,,,,145.1538578,11.06791511,3.12185785,10727,0,34.3986894,4.220020244,
9.244079094,1525,,,,192.942573,11.03738118,4.178739042,12323,0,45.98874441,4.195592367,
10.92454759,1620,,,,253.9562406,10.998465,5.584498529,13943,0,61.39441673,4.136584103,
12.59536234,1715,,,,315.5793691,10.95123106,7.177692109,15603,0,78.4789227,4.021229373,
14.38755584,1810,,,,393.9596498,10.88334365,9.299194811,17306,0,100.9322497,3.903237519,
16.17216784,1905,,,,433.4848075,10.20516486,10.98351082,18143,0,111.9665469,3.871583864,
17.88185959,2000,,,,433.4848075,10.20516486,10.98351082,18143,0,111.9665469,3.871583864,
