Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,13.37156735,11.14988169,0.44308157,3514,0,4.785331781,2.795105466,
2.217047337,1145,,,,36.13457063,11.13646779,0.896797499,5505,0,9.844774745,3.671004542,
3.941594087,1240,,,,69.06730683,11.11696022,1.501862735,7364,0,16.60535878,4.159387666,
5.720884837,1335,,,,107.0299381,11.09377054,2.325840851,9078,0,25.73011285,4.160440268,
7.468788587,1430,,,,146.1786984,11.06937087,3.228554031,10556,0,35.70428826,4.094375578,
9.224978087,1525,,,,198.0086287,11.03637774,4.369545947,12067,0,48.02079173,4.123449721,
11.01986259,1620,,,,256.6275517,10.99667801,5.874342013,13690,0,64.48286171,3.979867013,
12.74407909,1715,,,,322.3894874,10.94290596,7.603405694,15137,0,83.07063015,3.88092784,
14.47860309,1810,,,,407.8483575,10.86484606,10.12126663,16898,0,109.9026543,3.711027155,
16.26686759,1905,,,,407.8483575,10.86484606,10.12126663,16898,0,109.9026543,3.711027155,
18.00734934,2000,,,,407.8483575,10.86484606,10.12126663,16898,0,109.9026543,3.711027155,
