Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1000,,,,1.097148915,11.13552186,0.082049836,0,0,0.801564548,0,
2.391599795,1100,,,,34.75111752,11.12211716,0.469171433,4601,0,5.106005716,6.810125894,
4.296909045,1200,,,,69.06780693,11.10727153,0.999197903,6433,0,10.98119036,6.289808587,
6.108499295,1300,,,,109.0283375,11.08415514,1.714381972,7985,0,18.87324811,5.776936077,
8.009799795,1400,,,,147.543888,11.05973423,2.505542251,9234,0,27.56712417,5.352202562,
9.912443045,1500,,,,194.6724555,11.02273483,3.643021185,10598,0,40.0701242,4.858321397,
11.82007554,1600,,,,250.1010694,10.97266991,5.246404893,12030,0,57.40970322,4.356508718,
13.64450854,1700,,,,316.3677232,10.90419762,7.438956561,13580,0,81.07687703,3.902140304,
15.49778279,1800,,,,402.4422938,10.81170524,10.30385239,15223,0,111.2328887,3.618026553,
17.33230679,1900,,,,402.4422938,10.81170524,10.30385239,15223,0,111.2328887,3.618026553,
19.18731404,2000,,,,402.4422938,10.81170524,10.30385239,15223,0,111.2328887,3.618026553,
