Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,16.15421021,11.11825088,0.494211577,3544,0,5.367626352,3.010205379,
2.449775767,1145,,,,38.54679947,11.10419108,0.996273883,5876,0,10.91615031,3.531258477,
4.220973267,1240,,,,72.10032519,11.08336694,1.627156243,7887,0,17.96649546,4.013766734,
6.048382767,1335,,,,109.0169876,11.05905289,2.397483456,9705,0,26.47387122,4.118108462,
7.797163767,1430,,,,149.4142774,11.03672717,3.306945499,11314,0,36.33638994,4.112191287,
9.546627767,1525,,,,196.9640988,11.00992988,4.336694515,13054,0,47.56910093,4.141374792,
11.38533077,1620,,,,253.976631,10.97176532,5.677714019,14898,0,62.16781739,4.085448729,
13.15385877,1715,,,,327.2329513,10.92218995,7.270790587,16884,0,79.34025748,4.124458052,
14.94960027,1810,,,,386.4528985,10.85556551,9.329872367,18643,0,101.1071458,3.822297934,
16.74675627,1905,,,,452.6682176,10.44685032,10.90369874,19954,0,113.7991246,3.977861385,
18.55327802,2000,,,,452.6682176,10.44685032,10.90369874,19954,0,113.7991246,3.977861385,
