Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,17.09218477,11.12080566,0.389471049,3345,0,4.205479958,4.065841829,
2.338844521,1145,,,,45.53448306,11.10763096,0.861262413,5900,0,9.406688522,4.841181969,
4.224712021,1240,,,,79.03895794,11.08916845,1.527516131,7821,0,16.82872486,4.696800438,
6.031700521,1335,,,,117.5693125,11.06679045,2.376814542,9460,0,26.08748491,4.506931287,
7.860064771,1430,,,,159.4318965,11.03722282,3.329886755,10927,0,36.60077142,4.356270753,
9.801760771,1525,,,,206.0536644,11.00343606,4.568169235,12449,0,50.08419728,4.114197989,
11.71140902,1620,,,,263.2734581,10.96325921,6.075858693,13923,0,66.48381148,3.959998443,
13.58050127,1715,,,,332.8803833,10.9035725,8.056628252,15521,0,87.64383708,3.798171058,
15.51857627,1810,,,,425.0906009,10.81318554,10.9120388,17306,0,118.0236817,3.601813592,
17.34036627,1905,,,,425.0906009,10.81318554,10.9120388,17306,0,118.0236817,3.601813592,
19.20958677,2000,,,,425.0906009,10.81318554,10.9120388,17306,0,118.0236817,3.601813592,
