Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,15.12284458,11.14577728,0.458238937,3360,0,4.987975896,3.032456094,
2.328264929,1145,,,,40.50862589,11.13298512,0.939169325,5500,0,10.32555131,3.923861784,
4.154677929,1240,,,,74.54051,11.11210131,1.618035032,7346,0,17.84634844,4.177073197,
5.918833179,1335,,,,115.2128561,11.08799815,2.439659406,9046,0,26.97912956,4.270595055,
7.638355679,1430,,,,159.459447,11.06172299,3.398751904,10485,0,37.373151,4.266811405,
9.404843179,1525,,,,210.4070865,11.02565359,4.607403455,12013,0,50.65012144,4.154191702,
11.09942418,1620,,,,270.6620095,10.98521451,6.148689764,13551,0,67.37966719,4.017043206,
12.91677418,1715,,,,335.3287116,10.93096187,7.878000149,15088,0,86.03591087,3.89755947,
14.65609768,1810,,,,417.6867743,10.85339013,10.43906964,16771,0,113.111038,3.692721506,
16.36102393,1905,,,,417.6867743,10.85339013,10.43906964,16771,0,113.111038,3.692721506,
18.15707568,2000,,,,417.6867743,10.85339013,10.43906964,16771,0,113.111038,3.692721506,
