Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1000,,,,-1.483733325,11.12909188,0.050305529,0,0,0.438673085,0,
2.331642518,1100,,,,28.38145079,11.11660349,0.49675525,5140,0,5.389739621,5.266263571,
4.203085268,1200,,,,61.65973975,11.09847801,1.028429595,7240,0,11.25311231,5.479571265,
6.069606268,1300,,,,101.3076175,11.07421353,1.79858133,9088,0,19.79765734,5.117262823,
7.970674018,1400,,,,141.6325408,11.0453146,2.677351845,10675,0,29.42680673,4.813089056,
9.822165768,1500,,,,183.6834604,11.01119239,3.720533113,12115,0,40.87130462,4.49419052,
11.68203977,1600,,,,234.875213,10.96427841,5.201434207,13653,0,56.86967302,4.130078722,
13.56167227,1700,,,,303.5007106,10.89972355,7.280744196,15430,0,79.17526047,3.83329695,
15.42083527,1800,,,,385.5981862,10.80604787,10.10115598,17356,0,109.1133003,3.533987888,
17.29445852,1900,,,,385.5981862,10.80604787,10.10115598,17356,0,109.1133003,3.533987888,
19.20625402,2000,,,,385.5981862,10.80604787,10.10115598,17356,0,109.1133003,3.533987888,
