Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0,1000,,,,0.8786032938567659,11.115692173770706,0.0879570794258836,0,0,0.8516184054126542,0.2922644832163331,,
2.3685113289999427,1100,,,,20.95313348386195,11.108299242391368,0.34496692064861567,4262,0,3.7088436951103083,5.650662705423144,,
4.194412578999961,1200,,,,45.26155978117867,11.100785114279692,0.6659656457498578,6091,0,7.292867088994484,6.2071085557746155,,
6.030729328999959,1300,,,,74.81036932091352,11.087455745144897,1.125254838303407,7809,0,12.354211153824595,6.055804395263948,,
7.926209328999929,1400,,,,108.06605839851588,11.070385296603519,1.694872443662786,9293,0,18.61692351359985,5.804878933147404,,
9.708532578999955,1500,,,,142.2993619379063,11.05080068611621,2.3220535853946087,10544,0,25.508283154875294,5.578559054847946,,
11.543703328999948,1600,,,,186.4564920851611,11.0224232210716,3.2459693278903594,11974,0,35.62853638824892,5.23339789828396,,
13.411901078999938,1700,,,,237.04407133240318,10.986450870195743,4.450092971873226,13399,0,48.78099913017176,4.859379099374643,,
15.172016578999987,1800,,,,296.9336853944217,10.939280800888087,6.072140206092348,14968,0,66.32821595820354,4.4767548018091095,,
16.98606857899998,1900,,,,361.3018375704131,10.883445014515623,7.876098953256165,16393,0,85.58040980634425,4.2218140215789495,,
18.866210578999954,2000,,,,413.0662146910581,10.834851316022533,9.519966036216811,17491,0,103.0033926865242,4.0102256959033635,,
