Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,17.13744816,11.100189,0.525405666,3350,0,5.702758804,3.006228678,
2.220879268,1145,,,,43.2884073,11.08613818,1.061959687,5699,0,11.65155928,3.715503673,
4.024575768,1240,,,,78.60357156,11.06447779,1.815945237,7571,0,19.98043988,3.934600316,
5.709269768,1335,,,,118.5301624,11.03646687,2.725117622,9179,0,29.97977854,3.953874369,
7.395748268,1430,,,,160.5165377,11.00946661,3.774236138,10612,0,41.39061207,3.87813802,
9.051670768,1525,,,,211.7246596,10.97997384,5.148292091,12230,0,56.44660889,3.75096492,
10.77592627,1620,,,,280.4376927,10.93504132,6.90498964,13917,0,75.35395514,3.721637128,
12.47925852,1715,,,,353.3012265,10.86518362,8.897847857,15495,0,96.54617558,3.65943953,
14.25896152,1810,,,,405.97597,10.22069301,10.96884828,16696,0,112.0465297,3.623279677,
15.97686452,1905,,,,405.97597,10.22069301,10.96884828,16696,0,112.0465297,3.623279677,
17.67239927,2000,,,,405.97597,10.22069301,10.96884828,16696,0,112.0465297,3.623279677,
