Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,24.48788462,11.12120219,0.552996956,3431,0,5.995385103,4.08533379,
2.24131881,1145,,,,56.33898738,11.10182284,1.159254022,5687,0,12.72495687,4.428747723,
4.04552606,1240,,,,100.7339704,11.07791402,2.020985526,7543,0,22.24044215,4.529727261,
5.80364931,1335,,,,148.7204732,11.04379715,3.124945446,9184,0,34.33068541,4.332321382,
7.54723881,1430,,,,198.7585589,11.01013734,4.367498417,10566,0,47.85092456,4.153730115,
9.32252006,1525,,,,257.5898365,10.96745999,5.860782294,12075,0,64.07840851,4.019939259,
11.08783131,1620,,,,322.0710693,10.92221627,7.591514464,13583,0,82.7393847,3.892604353,
12.78726981,1715,,,,396.9394683,10.85142839,9.883616829,15135,0,107.0516463,3.707984554,
14.47071156,1810,,,,404.6472736,9.432467074,10.95511787,15264,0,103.1638689,3.922403485,
16.20220656,1905,,,,404.6472736,9.432467074,10.95511787,15264,0,103.1638689,3.922403485,
17.98122181,2000,,,,404.6472736,9.432467074,10.95511787,15264,0,103.1638689,3.922403485,
