Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1000,,,,1.862072551,11.10753453,0.149782675,0,0,1.513781479,0,
2.41569273,1100,,,,34.13110202,11.09593321,0.530739227,5052,0,5.740102024,5.949496823,
4.27009098,1200,,,,68.34961806,11.07760346,1.106312552,7051,0,12.11671868,5.641253476,
6.18760973,1300,,,,109.4962917,11.0515234,1.913356083,8829,0,21.02200207,5.208701897,
8.05124723,1400,,,,147.4260786,11.02202902,2.80973548,10226,0,30.84421691,4.779731316,
9.87637848,1500,,,,192.285106,10.98471047,4.01622438,11592,0,43.91789119,4.378319287,
11.80259773,1600,,,,249.9917599,10.93122786,5.663726159,13108,0,61.81685629,4.044095537,
13.64748823,1700,,,,318.0586287,10.86147769,8.007846547,14788,0,86.82472876,3.663294582,
15.53997948,1800,,,,394.2730793,10.58734201,10.94748163,16415,0,115.7717312,3.405673231,
17.45593198,1900,,,,394.2730793,10.58734201,10.94748163,16415,0,115.7717312,3.405673231,
19.43517198,2000,,,,394.2730793,10.58734201,10.94748163,16415,0,115.7717312,3.405673231,
