Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,14.53416288,11.09140299,0.265254284,3041,0,2.814124998,5.167507605,
2.438616356,1145,,,,38.27811758,11.08344538,0.595738442,5369,0,6.444391431,5.940804857,
4.307400106,1240,,,,72.56235166,11.06957626,1.129610125,7186,0,12.39199974,5.855921221,
6.188688856,1335,,,,108.9844781,11.04887658,1.84165869,8829,0,20.21864269,5.390913846,
8.077136356,1430,,,,146.2232115,11.02528031,2.585168945,10218,0,28.3951681,5.149703019,
9.913436356,1525,,,,186.5093904,10.99786936,3.483935706,11405,0,38.17130545,4.88616572,
11.74276411,1620,,,,232.7952983,10.96300509,4.680495247,12794,0,51.20047223,4.546817855,
13.60057336,1715,,,,291.642849,10.9165327,6.265396988,14211,0,68.28268984,4.271138845,
15.43831961,1810,,,,359.7083203,10.8560778,8.301582859,15676,0,89.96366692,3.998453485,
17.28464086,1905,,,,428.5937219,10.78215978,10.72583431,17077,0,115.4047296,3.713835395,
19.18418286,2000,,,,428.5937219,10.78215978,10.72583431,17077,0,115.4047296,3.713835395,
