Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,21.996109,11.12039992,0.453929244,2758,0,4.913906108,4.476682404,
2.433948002,1145,,,,57.12401742,11.10466802,1.036663404,5782,0,11.37271586,5.023540812,
4.273319002,1240,,,,101.0086098,11.07939035,1.884684539,7613,0,20.7569233,4.866479794,
6.118807502,1335,,,,153.3079987,11.04859875,2.956233467,9267,0,32.50389465,4.71667267,
8.026656252,1430,,,,201.7178257,11.0146615,4.202867914,10631,0,46.12676124,4.373318161,
9.870673752,1525,,,,256.7071231,10.97467489,5.627401845,11906,0,61.60852756,4.166775566,
11.753885,1620,,,,318.5630118,10.9272597,7.346219725,13316,0,80.09313038,3.977419556,
13.612032,1715,,,,389.588594,10.86103305,9.673781287,14857,0,104.8988635,3.713968836,
15.474641,1810,,,,402.2176098,9.583546503,10.92700812,15107,0,104.6590372,3.843132522,
17.3527925,1905,,,,402.2176098,9.583546503,10.92700812,15107,0,104.6590372,3.843132522,
19.23535475,2000,,,,402.2176098,9.583546503,10.92700812,15107,0,104.6590372,3.843132522,
