Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1000,,,,0.863413285,11.09221528,0.060630179,0,0,0.531877272,0,
2.288872603,1100,,,,26.00199636,11.08097733,0.402360055,4756,0,4.331389743,6.003616448,
4.056391853,1200,,,,54.30908988,11.06526642,0.827142494,6756,0,8.989502438,6.04183026,
5.850603353,1300,,,,90.23737214,11.03978545,1.454919183,8587,0,15.93454781,5.663180071,
7.591289603,1400,,,,130.9942673,11.00859436,2.192286725,10127,0,24.00375863,5.457300445,
9.323384853,1500,,,,169.8211438,10.96984786,3.0567977,11475,0,33.40329083,5.084062816,
11.10973485,1600,,,,217.9203379,10.91890372,4.317396052,12994,0,46.95188082,4.641387707,
12.88040485,1700,,,,278.598821,10.85107015,5.963012441,14562,0,64.59869561,4.312867287,
14.60306635,1800,,,,350.4553742,10.75699529,8.214813597,16251,0,88.07400232,3.979199031,
16.29838835,1900,,,,425.5309043,10.64680128,10.81186748,17897,0,114.9892809,3.700640559,
18.1002146,2000,,,,425.5309043,10.64680128,10.81186748,17897,0,114.9892809,3.700640559,
