Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,14.15677527,11.15312302,0.457833695,3443,0,4.969326104,2.851560278,
2.218129722,1145,,,,36.26170892,11.14058485,0.906999764,5509,0,9.999919691,3.627303224,
3.976033972,1240,,,,66.18841624,11.12145724,1.535506531,7439,0,16.9335341,3.909386842,
5.788817972,1335,,,,104.7711448,11.09877983,2.310013764,9197,0,25.49040811,4.110733891,
7.516857722,1430,,,,145.5507274,11.07185866,3.183272739,10704,0,34.97791222,4.161349738,
9.266175972,1525,,,,196.1186801,11.04127305,4.30696854,12263,0,47.40681668,4.136993758,
11.06699697,1620,,,,254.8676017,11.0004287,5.754293922,13879,0,63.17979118,4.034065443,
12.78541547,1715,,,,319.6571144,10.94965004,7.416313028,15435,0,80.9806373,3.947354671,
14.53931797,1810,,,,402.078203,10.87937667,9.758133697,17123,0,106.1152556,3.78913628,
16.28211722,1905,,,,421.6246504,9.855807373,10.98021404,17439,0,108.0773333,3.901151118,
18.07115097,2000,,,,421.6246504,9.855807373,10.98021404,17439,0,108.0773333,3.901151118,
