Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,17.73553766,11.11593674,0.503579075,3358,0,5.492261303,3.232637487,
2.240074054,1145,,,,44.9697687,11.1004328,1.034183974,5786,0,11.34079416,3.965692753,
3.892650304,1240,,,,85.78541601,11.07620697,1.852945215,7716,0,20.3937061,4.206892803,
5.616256054,1335,,,,132.7755052,11.0488695,2.825565218,9425,0,31.12752443,4.265571274,
7.424119554,1430,,,,181.1109153,11.01173035,4.001961275,10887,0,43.91873419,4.123906851,
9.203711554,1525,,,,240.3079321,10.96953047,5.4162026,12427,0,59.21951615,4.057988584,
10.90391655,1620,,,,308.0924344,10.92099757,7.200794312,14007,0,78.4290359,3.928356276,
12.6604553,1715,,,,386.2048393,10.85586394,9.356142013,15530,0,101.4568574,3.806608105,
14.3961293,1810,,,,419.5541553,9.84881493,10.96978911,16036,0,107.881367,3.889037664,
16.1049178,1905,,,,419.5541553,9.84881493,10.96978911,16036,0,107.881367,3.889037664,
17.9147318,2000,,,,419.5541553,9.84881493,10.96978911,16036,0,107.881367,3.889037664,
