Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1050,,,,18.20512641,11.12386713,0.39452076,3138,0,4.287298048,4.24781458,
2.428148781,1145,,,,45.65630912,11.11152704,0.880107565,5866,0,9.660437943,4.726447478,
4.268294531,1240,,,,83.67105065,11.09157054,1.573800367,7749,0,17.32630193,4.829324422,
6.129660531,1335,,,,125.831523,11.06432272,2.460544166,9372,0,27.14305541,4.636026387,
8.043418531,1430,,,,170.6518105,11.03761902,3.476811394,10755,0,38.14937455,4.473374202,
9.882967281,1525,,,,220.3156222,11.00488318,4.759120879,12192,0,52.22838947,4.218408747,
11.73265853,1620,,,,280.8897442,10.96457439,6.357590349,13611,0,69.53988941,4.039276414,
13.61062053,1715,,,,361.1767014,10.90101105,8.527759653,15189,0,92.79821613,3.892102014,
15.44961203,1810,,,,426.5429693,10.36682566,10.90961964,16423,0,112.9878835,3.77516964,
17.37980478,1905,,,,426.5429693,10.36682566,10.90961964,16423,0,112.9878835,3.77516964,
19.25525028,2000,,,,426.5429693,10.36682566,10.90961964,16423,0,112.9878835,3.77516964,
