Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1000,,,,0.220252972,11.15157579,0.048717631,0,0,0.433185466,0,
2.134754814,1100,,,,15.12073996,11.13889203,0.383165242,4817,0,4.125466883,3.665895771,
3.831021064,1200,,,,31.04562751,11.12324105,0.768707623,6908,0,8.425413252,3.684830097,
5.574381564,1300,,,,50.85891148,11.10009585,1.331332986,8745,0,14.67075213,3.46690521,
7.320081814,1400,,,,72.57355213,11.07077137,2.029954577,10525,0,22.3273784,3.250462174,
9.120256314,1500,,,,96.33635805,11.03383997,2.844011425,12001,0,31.21677468,3.086070183,
10.91330681,1600,,,,123.1569354,10.98456698,3.956529353,13462,0,43.27050084,2.846231968,
12.62207906,1700,,,,156.2358903,10.92068353,5.318700568,15197,0,57.88420829,2.699135149,
14.27214131,1800,,,,193.4701074,10.78183954,7.21604823,16840,0,77.63776879,2.49195981,
16.05200106,1900,,,,226.4980575,10.69756336,10.02884273,18381,0,107.1542862,2.113770844,
17.75677506,2000,,,,226.4980575,10.69756336,10.02884273,18381,0,107.1542862,2.113770844,
