Time (s),ESC signal (탎),Servo 1 (탎),Servo 2 (탎),Servo 3 (탎),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message
0,1000,,,,-0.493287796,11.14091702,0.113854435,0,0,1.131128358,0,
2.390046725,1100,,,,32.22040513,11.12813694,0.509183553,4421,0,5.539715173,5.81598277,
4.264573475,1200,,,,65.69962283,11.1122698,1.004892079,6246,0,10.97743687,5.985274236,
6.107924475,1300,,,,106.9039535,11.09228511,1.707488606,7862,0,18.83945139,5.674669548,
7.966698475,1400,,,,146.5493928,11.06439277,2.537532979,9278,0,27.93760734,5.245659968,
9.896580975,1500,,,,187.9274853,11.03573647,3.464428045,10444,0,38.08696306,4.934205367,
11.79368747,1600,,,,241.4064737,10.99441567,4.861170567,11829,0,53.25326247,4.533205757,
13.66654897,1700,,,,307.197148,10.93623111,6.694490821,13342,0,73.07262809,4.204088489,
15.59642847,1800,,,,382.1884072,10.86135087,9.030396797,14877,0,97.94742203,3.901990583,
17.47747972,1900,,,,425.4926708,10.22405045,10.95269199,15707,0,111.8335929,3.804701684,
19.43524222,2000,,,,425.4926708,10.22405045,10.95269199,15707,0,111.8335929,3.804701684,
