Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0,1000,,,,0.5403294208757708,11.093057006052979,0.03839194300921307,1,0,0.35362903048122685,0.302880954811808,,
1.8954426487495657,1100,,,,8.271599943459554,11.089719156861893,0.12485504133796874,2871,0,1.2422551603741585,6.660784971013493,,
3.3659093987496105,1200,,,,19.194700754143682,11.085957436020887,0.21987950560634265,4161,0,2.2821865874587375,8.413889048730013,,
4.834229648749554,1300,,,,34.3125512607243,11.079525503366963,0.3866974864690129,5431,0,4.187767450805612,8.193817993512265,,
6.304422398749599,1400,,,,50.06432772471986,11.070096528566706,0.5954185143668725,6583,0,6.457644794995794,7.75318300660433,,
7.770385648749557,1500,,,,70.43128153360406,11.05981661981343,0.8872969246824853,7660,0,9.688497344523,7.269662783854815,,
9.241717898749581,1600,,,,93.07386865270176,11.048323381195747,1.1796048612804975,8681,0,12.902025388827445,7.21421830468882,,
10.7100786487496,1700,,,,117.30575636501344,11.033829721226912,1.595480428436064,9707,0,17.46830759348267,6.715396858773604,,
12.177878648749598,1800,,,,146.18079080602868,11.014153115875082,2.184659128820481,10770,0,23.92605106655883,6.1098163983067995,,
13.6505473987496,1900,,,,180.03717549246494,10.989775076121187,2.9006985143673902,11836,0,31.751032373669908,5.670334287597344,,
15.115191398749596,2000,,,,208.01451057553768,10.966624590457135,3.603791056211956,12644,0,39.39540061390927,5.28328453028147,,
