Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),Thrust (gf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Overall Efficiency (gf/W),App message,
0,1050,,,,15.077030119827871,11.103243711685932,0.2320372338828877,3406,0,2.43882477996194,6.184280645814327,,
2.4372451382500584,1145,,,,36.4129878620363,11.094559780842442,0.4908669336830451,5694,0,5.318192425803585,6.848210136905069,,
4.297348138250131,1240,,,,66.55693221035254,11.082619371393305,0.910481637825931,7602,0,9.975770666072192,6.672041968943279,,
6.2398321382501045,1335,,,,100.10553783980743,11.065109975486518,1.471013045044708,9390,0,16.12917002445993,6.207300961412988,,
8.05846188825008,1430,,,,136.1456241121269,11.04460460571903,2.1637109674698687,10900,0,23.69503171063779,5.745944730838613,,
9.873118138250081,1525,,,,172.62270071750467,11.021884890536025,2.953169446813319,12330,0,32.42942920128973,5.323104390537149,,
11.799186638250053,1620,,,,218.73724703017257,10.989496535746422,4.004211439417576,13818,0,43.900152633443405,4.982642233157059,,
13.709697888250066,1715,,,,273.69610427858703,10.946879751813576,5.364390430694904,15464,0,58.57234114275339,4.672809914989034,,
15.560648638250063,1810,,,,338.6224559308107,10.891741097063147,7.108129265442533,17334,0,77.32480138994491,4.379266425863068,,
17.438189638250112,1905,,,,378.3478268226287,10.794026728496195,10.223854435953736,18733,0,110.31937233066192,3.4295789823931777,,
19.32562713825004,2000,,,,379.07029598475117,9.96278563791649,10.946038619670679,18597,0,108.80876011846249,3.4838274163832956,,
